age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
28,management,single,secondary,no,7635.0,yes,no,unknown,6,may,1297,3,-1,0,unknown,yes
30,management,single,secondary,no,463.5,yes,no,unknown,7,may,1574,2,-1,0,unknown,yes
32,management,single,primary,no,916.5,yes,no,unknown,8,may,541,3,-1,0,unknown,yes
37,management,single,secondary,no,571.5,yes,no,unknown,8,may,985,2,-1,0,unknown,yes
26,management,single,secondary,no,123.0,yes,no,unknown,9,may,654,1,-1,0,unknown,yes
38,management,single,tertiary,no,178.5,yes,no,unknown,13,may,568,4,-1,0,unknown,yes
31,management,single,tertiary,no,216.0,yes,no,unknown,16,may,676,1,-1,0,unknown,yes
26,management,single,secondary,no,369.0,yes,no,unknown,16,may,1143,3,-1,0,unknown,yes
37,management,single,secondary,no,1188.0,yes,no,unknown,16,may,1187,4,-1,0,unknown,yes
36,management,single,secondary,no,6657.0,yes,no,unknown,20,may,446,1,-1,0,unknown,yes
31,management,single,secondary,no,646.5,yes,yes,unknown,20,may,1045,1,-1,0,unknown,yes
37,management,single,secondary,no,1816.5,yes,no,unknown,21,may,795,1,-1,0,unknown,yes
36,management,single,primary,no,898.5,yes,no,unknown,21,may,649,2,-1,0,unknown,yes
31,management,single,tertiary,no,1237.5,yes,no,unknown,21,may,506,2,-1,0,unknown,yes
35,management,single,primary,no,1491.0,yes,no,unknown,23,may,1349,8,-1,0,unknown,yes
35,management,single,tertiary,no,2031.0,yes,no,unknown,23,may,736,2,-1,0,unknown,yes
33,management,single,secondary,no,2196.0,yes,no,unknown,23,may,588,3,-1,0,unknown,yes
31,management,single,secondary,no,4365.0,yes,no,unknown,23,may,1392,2,-1,0,unknown,yes
37,management,single,secondary,no,187.5,no,no,unknown,26,may,679,2,-1,0,unknown,yes
28,management,single,tertiary,no,0.0,yes,no,unknown,26,may,1560,2,-1,0,unknown,yes
37,management,single,secondary,no,474.0,yes,no,unknown,26,may,642,2,-1,0,unknown,yes
34,management,single,tertiary,no,3430.5,yes,no,unknown,26,may,895,4,-1,0,unknown,yes
26,management,single,secondary,no,1351.5,yes,no,unknown,26,may,764,2,-1,0,unknown,yes
29,management,single,tertiary,no,471.0,no,no,unknown,28,may,938,2,-1,0,unknown,yes
26,management,single,tertiary,no,10260.0,yes,no,unknown,28,may,1560,2,-1,0,unknown,yes
25,management,single,secondary,no,1863.0,yes,no,unknown,28,may,615,2,-1,0,unknown,yes
28,management,single,secondary,no,438.0,yes,no,unknown,28,may,507,1,-1,0,unknown,yes
34,management,single,tertiary,no,1587.0,yes,no,unknown,28,may,864,2,-1,0,unknown,yes
28,management,single,secondary,no,1423.5,yes,no,unknown,28,may,1730,1,-1,0,unknown,yes
38,management,single,secondary,no,28.5,yes,no,unknown,30,may,604,2,-1,0,unknown,yes
34,management,single,secondary,no,2176.5,yes,no,unknown,30,may,1097,15,-1,0,unknown,yes
35,management,single,secondary,no,1047.0,yes,yes,unknown,30,may,1343,3,-1,0,unknown,yes
29,management,single,tertiary,no,0.0,yes,no,unknown,30,may,539,12,-1,0,unknown,yes
39,management,single,tertiary,no,4144.5,yes,no,unknown,2,jun,526,2,-1,0,unknown,yes
36,management,single,secondary,no,4476.0,yes,no,unknown,2,jun,394,1,-1,0,unknown,yes
32,management,single,secondary,no,1044.0,yes,no,unknown,2,jun,815,1,-1,0,unknown,yes
36,management,single,tertiary,no,-117.0,yes,no,unknown,2,jun,1068,1,-1,0,unknown,yes
35,management,single,tertiary,no,1300.5,yes,no,unknown,2,jun,230,3,-1,0,unknown,yes
35,management,single,secondary,no,-130.5,yes,no,unknown,3,jun,1363,7,-1,0,unknown,yes
32,management,single,tertiary,no,9421.5,yes,no,unknown,3,jun,1336,4,-1,0,unknown,yes
27,management,single,tertiary,yes,-1069.5,yes,no,unknown,4,jun,525,2,-1,0,unknown,yes
30,management,single,tertiary,no,814.5,yes,yes,unknown,4,jun,1449,6,-1,0,unknown,yes
36,management,single,primary,no,604.5,yes,no,unknown,4,jun,920,1,-1,0,unknown,yes
35,management,single,secondary,no,655.5,yes,no,unknown,4,jun,908,1,-1,0,unknown,yes
26,management,single,secondary,no,1065.0,yes,yes,unknown,6,jun,1276,2,-1,0,unknown,yes
37,management,single,unknown,no,2262.0,no,yes,unknown,6,jun,381,2,-1,0,unknown,yes
38,management,single,tertiary,no,928.5,yes,no,unknown,6,jun,460,4,-1,0,unknown,yes
35,management,single,tertiary,no,102.0,no,no,unknown,6,jun,1085,1,-1,0,unknown,yes
38,management,single,primary,no,325.5,yes,no,unknown,9,jun,491,6,-1,0,unknown,yes
39,management,single,tertiary,no,-285.0,no,yes,unknown,11,jun,893,8,-1,0,unknown,yes
24,management,single,secondary,yes,-304.5,yes,no,unknown,12,jun,465,3,-1,0,unknown,yes
36,management,single,tertiary,no,4585.5,no,no,unknown,16,jun,2769,4,-1,0,unknown,yes
29,management,single,secondary,no,1362.0,yes,no,unknown,20,jun,1663,1,-1,0,unknown,yes
27,management,single,secondary,yes,-40.5,no,no,unknown,23,jun,498,2,-1,0,unknown,yes
25,management,single,primary,no,78.0,yes,no,unknown,24,jun,528,2,-1,0,unknown,yes
30,management,single,tertiary,no,789.0,yes,yes,unknown,26,jun,677,3,-1,0,unknown,yes
28,management,single,secondary,no,-10.5,no,yes,unknown,26,jun,3183,2,-1,0,unknown,yes
27,management,single,primary,no,-619.5,no,yes,unknown,27,jun,422,6,-1,0,unknown,yes
37,management,single,tertiary,no,0.0,no,no,unknown,1,jul,1135,2,-1,0,unknown,yes
29,management,single,secondary,no,126.0,no,yes,unknown,3,jul,587,3,-1,0,unknown,yes
33,management,single,secondary,no,171.0,no,yes,unknown,3,jul,676,1,-1,0,unknown,yes
31,management,single,tertiary,no,444.0,no,yes,cellular,8,jul,509,4,-1,0,unknown,yes
28,management,single,secondary,no,775.5,no,yes,cellular,8,jul,681,1,-1,0,unknown,yes
33,management,single,tertiary,no,55.5,no,yes,cellular,8,jul,1082,1,-1,0,unknown,yes
38,management,single,secondary,no,0.0,no,no,cellular,8,jul,635,1,-1,0,unknown,yes
29,management,single,tertiary,yes,0.0,no,yes,cellular,9,jul,426,3,-1,0,unknown,yes
31,management,single,tertiary,no,613.5,no,yes,cellular,9,jul,564,5,-1,0,unknown,yes
26,management,single,secondary,no,-43.5,yes,no,cellular,10,jul,998,4,-1,0,unknown,yes
34,management,single,secondary,no,-49.5,yes,yes,cellular,10,jul,961,1,-1,0,unknown,yes
30,management,single,secondary,no,7.5,no,yes,cellular,10,jul,829,5,-1,0,unknown,yes
29,management,single,tertiary,no,1474.5,yes,no,cellular,11,jul,963,2,-1,0,unknown,yes
35,management,single,secondary,no,3654.0,no,yes,cellular,14,jul,1397,3,-1,0,unknown,yes
38,management,single,secondary,no,1464.0,yes,no,cellular,14,jul,766,3,-1,0,unknown,yes
31,management,single,secondary,no,1759.5,yes,no,cellular,14,jul,444,3,-1,0,unknown,yes
